932,NULL,"Cancun, Mexico (CUN) "," 6:40 AM","Mexico City, Mexico (MEX)"," 8:15 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,DF8C7747-F8A9-420F-877D-4B909147D984
933,NULL,"Atlanta, GA (ATL) "," 4:33 PM","Cancun, Mexico (CUN)"," 7:00 PM",Aircraft: Boeing 757,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,DF8C7747-F8A9-420F-877D-4B909147D984
934,NULL,"New York-JFK, NY (JFK) "," 12:59 PM","Atlanta, GA (ATL)"," 3:20 PM",Aircraft: Airbus A320,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,DF8C7747-F8A9-420F-877D-4B909147D984
935,NULL,"Detroit, MI (DTW) "," 10:00 AM","New York-JFK, NY (JFK)"," 11:44 AM",Aircraft: Airbus A320,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,DF8C7747-F8A9-420F-877D-4B909147D984
936,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,081D916B-2D7A-4697-8CDA-0CCA8909451F
937,NULL,"Cancun, Mexico (CUN) "," 7:40 AM","Mexico City, Mexico (MEX)"," 9:10 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,693A432E-6D0D-4C04-8828-AC7A19F49043
938,NULL,"Cancun, Mexico (CUN) "," 7:40 AM","Mexico City, Mexico (MEX)"," 9:10 AM",Aircraft: Boeing 737,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,081D916B-2D7A-4697-8CDA-0CCA8909451F
939,NULL,"Mexico City, Mexico (MEX) "," 1:55 PM","Detroit, MI (DTW)"," 7:07 PM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,693A432E-6D0D-4C04-8828-AC7A19F49043
940,NULL,"New York-La Guardia, NY (LGA) "," 11:20 AM","Atlanta, GA (ATL)"," 1:53 PM",Aircraft: Airbus A321,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,F4930278-DB64-4773-BDE4-E60C7B5A4215
941,NULL,"Cancun, Mexico (CUN) "," 1:53 PM","Detroit, MI (DTW)"," 5:33 PM",Aircraft: Boeing 737-900,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,59933CFD-306A-4AED-B828-F92810BEDA09
